102.dat, 101.dat, 0.10487562189054722, 0.8097369239895477
103.dat, 101.dat, 0.13573770491803278, 0.5341886970343193
103.dat, 102.dat, 0.163200391485197, 0.33372911808930594
104.dat, 101.dat, 0.09625, 0.8908590357290347
104.dat, 102.dat, 0.15578358208955223, 0.3750766791435019
104.dat, 103.dat, 0.09426229508196726, 0.9325428518035856
105.dat, 101.dat, 0.1035897435897436, 0.8286218881453938
105.dat, 102.dat, 0.14098737083811708, 0.49707469354536393
105.dat, 103.dat, 0.09029003783102141, 0.9503976013994628
105.dat, 104.dat, 0.10649038461538463, 0.837354838734798
106.dat, 101.dat, 0.11393939393939395, 0.7799605004626842
106.dat, 102.dat, 0.14762550881953873, 0.4930538398826752
106.dat, 103.dat, 0.0757078986587183, 0.994888822057794
106.dat, 104.dat, 0.10056818181818183, 0.9112743491798576
106.dat, 105.dat, 0.08811188811188808, 0.9680815275360708
107.dat, 101.dat, 0.07925925925925925, 0.9857177216977346
107.dat, 102.dat, 0.146489773355445, 0.5095023079284788
107.dat, 103.dat, 0.12082574377656341, 0.7705958771699486
107.dat, 104.dat, 0.12037037037037035, 0.7631192853187285
107.dat, 105.dat, 0.08148148148148143, 0.986129273591124
107.dat, 106.dat, 0.09393939393939388, 0.961589381437459
108.dat, 101.dat, 0.2533333333333333, 0.03483928977909121
108.dat, 102.dat, 0.28656716417910444, 0.014125203947743152
108.dat, 103.dat, 0.19377049180327865, 0.2266845429875156
108.dat, 104.dat, 0.21999999999999997, 0.11411691116223316
108.dat, 105.dat, 0.23076923076923073, 0.08387807847798677
108.dat, 106.dat, 0.18545454545454546, 0.29738317804940134
108.dat, 107.dat, 0.22592592592592592, 0.12163825616696573
109.dat, 101.dat, 0.09543859649122799, 0.916214527973752
109.dat, 102.dat, 0.11887928777166795, 0.7501458534861705
109.dat, 103.dat, 0.12740868564854757, 0.6954022150886587
109.dat, 104.dat, 0.14610745614035087, 0.5076815215872186
109.dat, 105.dat, 0.1384615384615384, 0.5730046826524247
109.dat, 106.dat, 0.1393939393939394, 0.615208901843771
109.dat, 107.dat, 0.12475633528265107, 0.7531063231306213
109.dat, 108.dat, 0.28175438596491226, 0.023039105210296774
110.dat, 101.dat, 0.13446808510638303, 0.6411709475067194
110.dat, 102.dat, 0.16259129882502382, 0.4246044848941348
110.dat, 103.dat, 0.08196721311475408, 0.9917603061128553
110.dat, 104.dat, 0.09574468085106386, 0.9557985471517182
110.dat, 105.dat, 0.1384615384615384, 0.6395049124334946
110.dat, 106.dat, 0.08974854932301746, 0.9822475351187484
110.dat, 107.dat, 0.11111111111111116, 0.8981738665464122
110.dat, 108.dat, 0.21829787234042558, 0.17342697257476972
110.dat, 109.dat, 0.14296379245987306, 0.6341543138254576
111.dat, 101.dat, 0.11333333333333329, 0.8588610111996402
111.dat, 102.dat, 0.13681592039800994, 0.6869124736127027
111.dat, 103.dat, 0.1291959406713505, 0.7720853510141447
111.dat, 104.dat, 0.14360119047619047, 0.6381101448095522
111.dat, 105.dat, 0.12490842490842491, 0.7941174069043565
111.dat, 106.dat, 0.11774891774891774, 0.8754621650618978
111.dat, 107.dat, 0.10582010582010584, 0.9419477327323822
111.dat, 108.dat, 0.22666666666666663, 0.166050173103093
111.dat, 109.dat, 0.16666666666666663, 0.4755359019701018
111.dat, 110.dat, 0.14539007092198575, 0.7019552902508275
112.dat, 101.dat, 0.19238095238095243, 0.2437814507171818
112.dat, 102.dat, 0.22814498933901922, 0.11689333475001856
112.dat, 103.dat, 0.14363778298204533, 0.6494534704343663
112.dat, 104.dat, 0.15029761904761907, 0.5800231228447423
112.dat, 105.dat, 0.1575091575091575, 0.5152616778274448
112.dat, 106.dat, 0.10432900432900427, 0.9464936102101924
112.dat, 107.dat, 0.17460317460317465, 0.4302342646971238
112.dat, 108.dat, 0.17142857142857137, 0.47517504214004186
112.dat, 109.dat, 0.20300751879699247, 0.24198471447934822
112.dat, 110.dat, 0.14589665653495448, 0.6978434825656886
112.dat, 111.dat, 0.19047619047619047, 0.3923153975344514
113.dat, 101.dat, 0.1724137931034483, 0.5226524382618837
113.dat, 102.dat, 0.2110138960370561, 0.2922860807111313
113.dat, 103.dat, 0.1724137931034483, 0.5615521428300991
113.dat, 104.dat, 0.1724137931034483, 0.5520313513197879
113.dat, 105.dat, 0.1570291777188329, 0.6678156240770929
113.dat, 106.dat, 0.1724137931034483, 0.5830699304777845
113.dat, 107.dat, 0.1724137931034483, 0.587021551448944
113.dat, 108.dat, 0.1724137931034483, 0.6040371703766856
113.dat, 109.dat, 0.16696914700544463, 0.6166615947997719
113.dat, 110.dat, 0.16434336023477625, 0.677794824113314
113.dat, 111.dat, 0.13711001642036125, 0.8797822148120178
113.dat, 112.dat, 0.14860426929392448, 0.8114284853584202
