,miji,rji,tji
0,0.01,0.009,0.991
1,0.05061224489795919,0.042,0.958
2,0.09122448979591836,0.086,0.914
3,0.13183673469387755,0.103,0.897
4,0.17244897959183675,0.118,0.882
5,0.21306122448979592,0.145,0.855
6,0.2536734693877551,0.151,0.849
7,0.2942857142857143,0.187,0.813
8,0.3348979591836735,0.173,0.827
9,0.37551020408163266,0.201,0.799
10,0.41612244897959183,0.229,0.771
11,0.45673469387755106,0.247,0.753
12,0.49734693877551023,0.245,0.755
13,0.5379591836734694,0.259,0.741
14,0.5785714285714286,0.277,0.723
15,0.6191836734693877,0.287,0.713
16,0.659795918367347,0.283,0.717
17,0.7004081632653062,0.278,0.722
18,0.7410204081632653,0.29,0.71
19,0.7816326530612245,0.306,0.694
20,0.8222448979591837,0.301,0.699
21,0.8628571428571429,0.308,0.692
22,0.9034693877551021,0.354,0.646
23,0.9440816326530612,0.347,0.653
24,0.9846938775510204,0.329,0.671
25,1.0253061224489797,0.338,0.662
26,1.0659183673469388,0.333,0.667
27,1.106530612244898,0.356,0.644
28,1.1471428571428572,0.367,0.633
29,1.1877551020408164,0.342,0.658
30,1.2283673469387755,0.349,0.651
31,1.2689795918367348,0.36,0.64
32,1.309591836734694,0.39,0.61
33,1.350204081632653,0.358,0.642
34,1.3908163265306124,0.38,0.62
35,1.4314285714285715,0.38,0.62
36,1.4720408163265306,0.39,0.61
37,1.51265306122449,0.382,0.618
38,1.553265306122449,0.369,0.631
39,1.5938775510204082,0.388,0.612
40,1.6344897959183673,0.372,0.628
41,1.6751020408163266,0.384,0.616
42,1.7157142857142857,0.389,0.611
43,1.7563265306122449,0.403,0.597
44,1.7969387755102042,0.424,0.576
45,1.8375510204081633,0.408,0.592
46,1.8781632653061224,0.387,0.613
47,1.9187755102040818,0.406,0.594
48,1.9593877551020409,0.416,0.584
49,2.0,0.405,0.595
50,2.0,0.379,0.621
51,2.125,0.414,0.586
52,2.25,0.405,0.595
53,2.375,0.429,0.571
54,2.5,0.4,0.6
55,2.625,0.448,0.552
56,2.75,0.406,0.594
57,2.875,0.426,0.574
58,3.0,0.438,0.562
59,3.125,0.439,0.561
60,3.25,0.431,0.569
61,3.375,0.447,0.553
62,3.5,0.42,0.58
63,3.625,0.445,0.555
64,3.75,0.423,0.577
65,3.875,0.441,0.559
66,4.0,0.448,0.552
67,4.125,0.451,0.549
68,4.25,0.435,0.565
69,4.375,0.466,0.534
70,4.5,0.452,0.548
71,4.625,0.447,0.553
72,4.75,0.423,0.577
73,4.875,0.451,0.549
74,5.0,0.456,0.544
