,miji,r_eno,t_eno,r_izo,t_izo
0,0.01,0.0108,0.9892,0.0054,0.9946
1,0.05061224489795919,0.0436,0.9564,0.0267,0.9733
2,0.09122448979591836,0.0764,0.9236,0.0448,0.9552
3,0.13183673469387755,0.1049,0.8951,0.0644,0.9356
4,0.17244897959183675,0.1234,0.8766,0.0806,0.9194
5,0.21306122448979592,0.1525,0.8475,0.0917,0.9083
6,0.2536734693877551,0.1771,0.8229,0.1137,0.8863
7,0.2942857142857143,0.1933,0.8067,0.1227,0.8773
8,0.3348979591836735,0.1946,0.8054,0.1216,0.8784
9,0.37551020408163266,0.2186,0.7814,0.1416,0.8584
10,0.41612244897959183,0.2269,0.7731,0.1475,0.8525
11,0.45673469387755106,0.2362,0.7638,0.1574,0.8426
12,0.49734693877551023,0.2522,0.7478,0.1677,0.8323
13,0.5379591836734694,0.2619,0.7381,0.1734,0.8266
14,0.5785714285714286,0.2676,0.7324,0.1901,0.8099
15,0.6191836734693877,0.2746,0.7254,0.197,0.803
16,0.659795918367347,0.2835,0.7165,0.2003,0.7997
17,0.7004081632653062,0.2916,0.7084,0.2062,0.7938
18,0.7410204081632653,0.2956,0.7044,0.2095,0.7905
19,0.7816326530612245,0.3086,0.6914,0.2192,0.7808
20,0.8222448979591837,0.3108,0.6892,0.2246,0.7754
21,0.8628571428571429,0.3151,0.6849,0.2282,0.7718
22,0.9034693877551021,0.3186,0.6814,0.2331,0.7669
23,0.9440816326530612,0.3265,0.6735,0.2376,0.7624
24,0.9846938775510204,0.325,0.675,0.2368,0.7632
25,1.0253061224489797,0.3352,0.6648,0.2428,0.7572
26,1.0659183673469388,0.3434,0.6566,0.2561,0.7439
27,1.106530612244898,0.341,0.659,0.2495,0.7505
28,1.1471428571428572,0.3534,0.6466,0.2464,0.7536
29,1.1877551020408164,0.3498,0.6502,0.2548,0.7452
30,1.2283673469387755,0.3502,0.6498,0.2688,0.7312
31,1.2689795918367348,0.3537,0.6463,0.2637,0.7363
32,1.309591836734694,0.3578,0.6422,0.2647,0.7353
33,1.350204081632653,0.3629,0.6371,0.2798,0.7202
34,1.3908163265306124,0.3647,0.6353,0.2788,0.7212
35,1.4314285714285715,0.3742,0.6258,0.2847,0.7153
36,1.4720408163265306,0.3811,0.6189,0.2831,0.7169
37,1.51265306122449,0.3728,0.6272,0.289,0.711
38,1.553265306122449,0.3775,0.6225,0.2906,0.7094
39,1.5938775510204082,0.3773,0.6227,0.2873,0.7127
40,1.6344897959183673,0.378,0.622,0.299,0.701
41,1.6751020408163266,0.3888,0.6112,0.2929,0.7071
42,1.7157142857142857,0.384,0.616,0.2985,0.7015
43,1.7563265306122449,0.3838,0.6162,0.2965,0.7035
44,1.7969387755102042,0.3865,0.6135,0.2966,0.7034
45,1.8375510204081633,0.3945,0.6055,0.3003,0.6997
46,1.8781632653061224,0.3985,0.6015,0.3055,0.6945
47,1.9187755102040818,0.3985,0.6015,0.3095,0.6905
48,1.9593877551020409,0.4071,0.5929,0.3151,0.6849
49,2.0,0.4066,0.5934,0.3043,0.6957
50,2.0,0.4014,0.5986,0.3097,0.6903
51,2.125,0.4094,0.5906,0.3063,0.6937
52,2.25,0.4071,0.5929,0.3194,0.6806
53,2.375,0.41,0.59,0.3261,0.6739
54,2.5,0.4195,0.5805,0.3243,0.6757
55,2.625,0.414,0.586,0.3354,0.6646
56,2.75,0.4264,0.5736,0.3424,0.6576
57,2.875,0.4359,0.5641,0.3443,0.6557
58,3.0,0.4256,0.5744,0.3488,0.6512
59,3.125,0.432,0.568,0.3566,0.6434
60,3.25,0.4298,0.5702,0.3619,0.6381
61,3.375,0.4321,0.5679,0.3574,0.6426
62,3.5,0.4431,0.5569,0.3541,0.6459
63,3.625,0.4459,0.5541,0.3589,0.6411
64,3.75,0.4392,0.5608,0.3599,0.6401
65,3.875,0.4498,0.5502,0.3733,0.6267
66,4.0,0.4468,0.5532,0.3649,0.6351
67,4.125,0.4502,0.5498,0.3777,0.6223
68,4.25,0.4566,0.5434,0.389,0.611
69,4.375,0.448,0.552,0.3815,0.6185
70,4.5,0.445,0.555,0.3768,0.6232
71,4.625,0.4387,0.5613,0.3856,0.6144
72,4.75,0.4486,0.5514,0.3753,0.6247
73,4.875,0.4505,0.5495,0.3858,0.6142
74,5.0,0.4481,0.5519,0.3848,0.6152
