,miji,r_eno,t_eno,r_izo,t_izo
0,0.01,0.023,0.977,0.01925,0.98075
1,0.023355704697986576,0.0435,0.9565,0.034,0.966
2,0.03671140939597316,0.06925,0.93075,0.058,0.942
3,0.05006711409395973,0.09925,0.90075,0.074,0.926
4,0.0634228187919463,0.1115,0.8885,0.09825,0.90175
5,0.07677852348993289,0.13675,0.86325,0.1155,0.8845
6,0.09013422818791945,0.155,0.845,0.13675,0.86325
7,0.10348993288590604,0.17275,0.82725,0.15275,0.84725
8,0.11684563758389262,0.185,0.815,0.16825,0.83175
9,0.1302013422818792,0.21,0.79,0.18275,0.81725
10,0.1435570469798658,0.22875,0.77125,0.2065,0.7935
11,0.15691275167785237,0.238,0.762,0.21075,0.78925
12,0.17026845637583893,0.25225,0.74775,0.23375,0.76625
13,0.1836241610738255,0.2715,0.7285,0.256,0.744
14,0.1969798657718121,0.27925,0.72075,0.25075,0.74925
15,0.21033557046979867,0.29325,0.70675,0.27025,0.72975
16,0.22369127516778525,0.3055,0.6945,0.26925,0.73075
17,0.23704697986577183,0.318,0.682,0.301,0.699
18,0.2504026845637584,0.327,0.673,0.322,0.678
19,0.263758389261745,0.3345,0.6655,0.3165,0.6835
20,0.2771140939597316,0.35725,0.64275,0.331,0.669
21,0.29046979865771816,0.36375,0.63625,0.34475,0.65525
22,0.30382550335570474,0.36525,0.63475,0.353,0.647
23,0.3171812080536913,0.37525,0.62475,0.36375,0.63625
24,0.33053691275167785,0.38725,0.61275,0.374,0.626
25,0.34389261744966443,0.402,0.598,0.38425,0.61575
26,0.357248322147651,0.40925,0.59075,0.39875,0.60125
27,0.3706040268456376,0.42075,0.57925,0.419,0.581
28,0.38395973154362417,0.424,0.576,0.4265,0.5735
29,0.39731543624161075,0.4305,0.5695,0.40825,0.59175
30,0.41067114093959733,0.44825,0.55175,0.42775,0.57225
31,0.4240268456375839,0.449,0.551,0.42875,0.57125
32,0.4373825503355705,0.457,0.543,0.451,0.549
33,0.4507382550335571,0.46125,0.53875,0.4575,0.5425
34,0.46409395973154366,0.47525,0.52475,0.4605,0.5395
35,0.47744966442953024,0.486,0.514,0.47575,0.52425
36,0.4908053691275168,0.489,0.511,0.47175,0.52825
37,0.5041610738255033,0.49625,0.50375,0.47075,0.52925
