,miji,rji,tji
0,0.01,0.015,0.985
1,0.01665551839464883,0.015,0.985
2,0.02331103678929766,0.021,0.979
3,0.02996655518394649,0.021,0.979
4,0.036622073578595316,0.032,0.968
5,0.04327759197324415,0.042,0.958
6,0.049933110367892976,0.049,0.951
7,0.05658862876254181,0.052,0.948
8,0.06324414715719064,0.066,0.934
9,0.06989966555183946,0.05,0.95
10,0.07655518394648829,0.083,0.917
11,0.08321070234113712,0.082,0.918
12,0.08986622073578594,0.075,0.925
13,0.09652173913043477,0.087,0.913
14,0.10317725752508361,0.086,0.914
15,0.10983277591973244,0.095,0.905
16,0.11648829431438126,0.09,0.91
17,0.12314381270903009,0.092,0.908
18,0.12979933110367892,0.112,0.888
19,0.13645484949832776,0.106,0.894
20,0.1431103678929766,0.11,0.89
21,0.1497658862876254,0.122,0.878
22,0.15642140468227425,0.106,0.894
23,0.1630769230769231,0.101,0.899
24,0.1697324414715719,0.12,0.88
25,0.17638795986622074,0.126,0.874
26,0.18304347826086956,0.124,0.876
27,0.1896989966555184,0.124,0.876
28,0.19635451505016724,0.156,0.844
29,0.20301003344481605,0.152,0.848
30,0.2096655518394649,0.144,0.856
31,0.2163210702341137,0.149,0.851
32,0.22297658862876255,0.153,0.847
33,0.22963210702341139,0.159,0.841
34,0.2362876254180602,0.147,0.853
35,0.24294314381270904,0.163,0.837
36,0.24959866220735785,0.17,0.83
37,0.25625418060200666,0.151,0.849
38,0.2629096989966555,0.17,0.83
39,0.26956521739130435,0.174,0.826
40,0.2762207357859532,0.19,0.81
41,0.282876254180602,0.173,0.827
42,0.2895317725752508,0.172,0.828
43,0.29618729096989965,0.181,0.819
44,0.3028428093645485,0.187,0.813
45,0.30949832775919733,0.17,0.83
46,0.3161538461538462,0.209,0.791
47,0.32280936454849496,0.196,0.804
48,0.3294648829431438,0.217,0.783
49,0.33612040133779264,0.195,0.805
50,0.3427759197324415,0.187,0.813
51,0.3494314381270903,0.203,0.797
52,0.3560869565217391,0.206,0.794
53,0.36274247491638795,0.201,0.799
54,0.3693979933110368,0.226,0.774
55,0.37605351170568563,0.195,0.805
56,0.38270903010033447,0.219,0.781
57,0.38936454849498325,0.199,0.801
58,0.3960200668896321,0.219,0.781
59,0.40267558528428093,0.221,0.779
60,0.4093311036789298,0.243,0.757
61,0.4159866220735786,0.217,0.783
62,0.4226421404682274,0.239,0.761
63,0.42929765886287624,0.21,0.79
64,0.4359531772575251,0.227,0.773
65,0.4426086956521739,0.213,0.787
66,0.44926421404682276,0.226,0.774
67,0.45591973244147155,0.244,0.756
68,0.4625752508361204,0.238,0.762
69,0.46923076923076923,0.247,0.753
70,0.47588628762541807,0.241,0.759
71,0.4825418060200669,0.239,0.761
72,0.4891973244147157,0.266,0.734
73,0.49585284280936454,0.25,0.75
74,0.5025083612040133,0.251,0.749
75,0.5091638795986622,0.262,0.738
76,0.515819397993311,0.273,0.727
77,0.5224749163879598,0.256,0.744
78,0.5291304347826087,0.245,0.755
79,0.5357859531772575,0.24,0.76
80,0.5424414715719064,0.259,0.741
81,0.5490969899665552,0.265,0.735
82,0.555752508361204,0.269,0.731
83,0.5624080267558529,0.275,0.725
84,0.5690635451505016,0.257,0.743
85,0.5757190635451505,0.256,0.744
86,0.5823745819397993,0.276,0.724
87,0.5890301003344481,0.262,0.738
88,0.595685618729097,0.25,0.75
89,0.6023411371237458,0.279,0.721
90,0.6089966555183947,0.247,0.753
91,0.6156521739130435,0.302,0.698
92,0.6223076923076923,0.271,0.729
93,0.6289632107023412,0.313,0.687
94,0.6356187290969899,0.283,0.717
95,0.6422742474916388,0.301,0.699
96,0.6489297658862876,0.288,0.712
97,0.6555852842809364,0.268,0.732
98,0.6622408026755853,0.285,0.715
99,0.6688963210702341,0.286,0.714
100,0.675551839464883,0.278,0.722
101,0.6822073578595318,0.275,0.725
102,0.6888628762541806,0.268,0.732
103,0.6955183946488295,0.285,0.715
104,0.7021739130434782,0.312,0.688
105,0.708829431438127,0.272,0.728
106,0.7154849498327759,0.315,0.685
107,0.7221404682274247,0.287,0.713
108,0.7287959866220736,0.279,0.721
109,0.7354515050167224,0.338,0.662
110,0.7421070234113712,0.304,0.696
111,0.7487625418060201,0.326,0.674
112,0.7554180602006689,0.303,0.697
113,0.7620735785953178,0.288,0.712
114,0.7687290969899665,0.317,0.683
115,0.7753846153846153,0.289,0.711
116,0.7820401337792642,0.331,0.669
117,0.788695652173913,0.315,0.685
118,0.7953511705685619,0.331,0.669
119,0.8020066889632107,0.303,0.697
120,0.8086622073578595,0.318,0.682
121,0.8153177257525084,0.301,0.699
122,0.8219732441471572,0.309,0.691
123,0.8286287625418061,0.325,0.675
124,0.8352842809364548,0.319,0.681
125,0.8419397993311036,0.322,0.678
126,0.8485953177257525,0.314,0.686
127,0.8552508361204013,0.304,0.696
128,0.8619063545150502,0.317,0.683
129,0.868561872909699,0.323,0.677
130,0.8752173913043478,0.346,0.654
131,0.8818729096989967,0.316,0.684
132,0.8885284280936455,0.324,0.676
133,0.8951839464882942,0.336,0.664
134,0.9018394648829431,0.331,0.669
135,0.9084949832775919,0.317,0.683
136,0.9151505016722408,0.342,0.658
137,0.9218060200668896,0.327,0.673
138,0.9284615384615384,0.343,0.657
139,0.9351170568561873,0.34,0.66
140,0.9417725752508361,0.317,0.683
141,0.948428093645485,0.308,0.692
142,0.9550836120401338,0.359,0.641
143,0.9617391304347825,0.342,0.658
144,0.9683946488294314,0.362,0.638
145,0.9750501672240802,0.306,0.694
146,0.9817056856187291,0.32,0.68
147,0.9883612040133779,0.34,0.66
148,0.9950167224080267,0.311,0.689
149,1.0016722408026755,0.353,0.647
150,1.0083277591973243,0.334,0.666
151,1.0149832775919732,0.333,0.667
152,1.021638795986622,0.354,0.646
153,1.0282943143812708,0.339,0.661
154,1.0349498327759197,0.349,0.651
155,1.0416053511705685,0.339,0.661
156,1.0482608695652174,0.339,0.661
157,1.0549163879598662,0.306,0.694
158,1.061571906354515,0.342,0.658
159,1.0682274247491639,0.327,0.673
160,1.0748829431438127,0.353,0.647
161,1.0815384615384616,0.337,0.663
162,1.0881939799331104,0.366,0.634
163,1.0948494983277592,0.329,0.671
164,1.101505016722408,0.345,0.655
165,1.108160535117057,0.344,0.656
166,1.1148160535117058,0.329,0.671
167,1.1214715719063546,0.324,0.676
168,1.1281270903010032,0.36,0.64
169,1.134782608695652,0.338,0.662
170,1.141438127090301,0.339,0.661
171,1.1480936454849497,0.353,0.647
172,1.1547491638795986,0.354,0.646
173,1.1614046822742474,0.329,0.671
174,1.1680602006688963,0.373,0.627
175,1.174715719063545,0.338,0.662
176,1.181371237458194,0.329,0.671
177,1.1880267558528428,0.344,0.656
178,1.1946822742474916,0.356,0.644
179,1.2013377926421405,0.36,0.64
180,1.2079933110367893,0.324,0.676
181,1.2146488294314381,0.336,0.664
182,1.221304347826087,0.369,0.631
183,1.2279598662207358,0.373,0.627
184,1.2346153846153847,0.353,0.647
185,1.2412709030100335,0.355,0.645
186,1.2479264214046824,0.343,0.657
187,1.2545819397993312,0.351,0.649
188,1.2612374581939798,0.358,0.642
189,1.2678929765886287,0.352,0.648
190,1.2745484949832775,0.364,0.636
191,1.2812040133779263,0.361,0.639
192,1.2878595317725752,0.365,0.635
193,1.294515050167224,0.363,0.637
194,1.3011705685618729,0.374,0.626
195,1.3078260869565217,0.364,0.636
196,1.3144816053511705,0.377,0.623
197,1.3211371237458194,0.346,0.654
198,1.3277926421404682,0.357,0.643
199,1.334448160535117,0.358,0.642
200,1.341103678929766,0.369,0.631
201,1.3477591973244147,0.325,0.675
202,1.3544147157190636,0.364,0.636
203,1.3610702341137124,0.368,0.632
204,1.3677257525083613,0.372,0.628
205,1.37438127090301,0.385,0.615
206,1.381036789297659,0.346,0.654
207,1.3876923076923076,0.354,0.646
208,1.3943478260869564,0.357,0.643
209,1.4010033444816052,0.36,0.64
210,1.407658862876254,0.371,0.629
211,1.414314381270903,0.367,0.633
212,1.4209698996655518,0.375,0.625
213,1.4276254180602006,0.345,0.655
214,1.4342809364548494,0.352,0.648
215,1.4409364548494983,0.368,0.632
216,1.4475919732441471,0.391,0.609
217,1.454247491638796,0.376,0.624
218,1.4609030100334448,0.372,0.628
219,1.4675585284280936,0.382,0.618
220,1.4742140468227425,0.399,0.601
221,1.4808695652173913,0.395,0.605
222,1.4875250836120402,0.373,0.627
223,1.494180602006689,0.389,0.611
224,1.5008361204013378,0.38,0.62
225,1.5074916387959867,0.387,0.613
226,1.5141471571906355,0.362,0.638
227,1.5208026755852841,0.369,0.631
228,1.527458193979933,0.383,0.617
229,1.5341137123745818,0.364,0.636
230,1.5407692307692307,0.397,0.603
231,1.5474247491638795,0.332,0.668
232,1.5540802675585283,0.365,0.635
233,1.5607357859531772,0.384,0.616
234,1.567391304347826,0.396,0.604
235,1.5740468227424749,0.37,0.63
236,1.5807023411371237,0.376,0.624
237,1.5873578595317726,0.382,0.618
238,1.5940133779264214,0.361,0.639
239,1.6006688963210702,0.369,0.631
240,1.607324414715719,0.381,0.619
241,1.613979933110368,0.391,0.609
242,1.6206354515050168,0.389,0.611
243,1.6272909698996656,0.386,0.614
244,1.6339464882943144,0.4,0.6
245,1.6406020066889633,0.373,0.627
246,1.6472575250836121,0.366,0.634
247,1.6539130434782607,0.379,0.621
