,m_hat
10.0,10.0
23.357214690901223,23.357214690901223
54.5559478116852,54.5559478116852
127.42749857031335,127.42749857031335
297.63514416313194,297.63514416313194
695.1927961775606,695.1927961775606
1623.776739188721,1623.776739188721
3792.69019073225,3792.69019073225
8858.667904100823,8858.667904100823
20691.3808111479,20691.3808111479
48329.30238571752,48329.30238571752
112883.78916846884,112883.78916846884
263665.08987303555,263665.08987303555
615848.2110660254,615848.2110660254
1438449.888287663,1438449.888287663
3359818.286283781,3359818.286283781
7847599.703514607,7847599.703514607
18329807.108324338,18329807.108324338
42813323.98719387,42813323.98719387
100000000.0,100000000.0
